Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,Price($)
AMD Ryzen 5 4600H,CPU,1/6/2020,7,54,156,9800,3000,TSMC,AMD,39
AMD Ryzen 3 PRO 2300U,CPU,1/8/2019,14,15,246,,2000,GF,AMD,61.5
AMD E-240,CPU,1/4/2011,40,18,75,,1500,Unknown,AMD,18.75
Intel Core i5-540M,CPU,1/7/2010,32,35,81,382,2533,Intel,Intel,20.25
AMD Opteron 142,CPU,9/9/2003,130,82,193,106,1600,Unknown,AMD,48.25
Intel Core i7-7700K,CPU,1/3/2017,14,91,,,4200,Intel,Intel,0
Intel Xeon E5606,CPU,2/14/2011,32,80,239,1170,2133,Intel,Intel,59.75
Intel Core i7-10710U,CPU,8/21/2019,14,25,,,1100,Intel,Intel,0
Intel Core i5-8500,CPU,2/14/2018,14,65,,,3000,Intel,Intel,0
AMD Athlon 64 3000+,CPU,4/4/2005,90,67,83,69,1800,Unknown,AMD,20.75
Intel Core i9-10900F,CPU,4/30/2020,14,65,,,2800,Intel,Intel,0
Intel Core i5-3360M,CPU,6/1/2012,22,35,118,,2800,Intel,Intel,29.5
Intel Core Solo ULV U1300,CPU,4/19/2006,65,5,90,151,1066,Intel,Intel,22.5
AMD Sempron 3500+,CPU,5/23/2006,90,62,103,81,2000,Unknown,AMD,25.75
AMD Opteron 844,CPU,9/9/2003,130,82,193,106,1800,Unknown,AMD,48.25
Intel Celeron 2961Y,CPU,12/1/2013,22,12,118,1400,1100,Intel,Intel,29.5
Intel Xeon W5590,CPU,8/9/2009,45,130,263,731,3333,Intel,Intel,65.75
AMD Sempron 3000+,CPU,4/1/2005,90,62,84,63,1800,Unknown,AMD,21
Intel Core i3-3217U,CPU,6/1/2012,22,17,118,,1800,Intel,Intel,29.5
AMD Ryzen 9 5980HS,CPU,1/12/2021,7,35,156,9800,3000,TSMC,AMD,39
AMD Opteron 140,CPU,6/30/2003,130,85,193,106,1400,Unknown,AMD,48.25
Intel Pentium 2117U,CPU,9/1/2012,22,17,118,1400,1800,Intel,Intel,29.5
AMD FX-4300,CPU,10/23/2012,32,95,315,1200,3800,Unknown,AMD,78.75
AMD Opteron 148,CPU,8/2/2005,90,85,,106,2200,Unknown,AMD,0
AMD EPYC 7351,CPU,6/29/2017,14,170,213,4800,2400,GF,AMD,53.25
Intel Celeron N2810,CPU,9/11/2013,22,7,,,2000,Intel,Intel,0
Intel Pentium Gold G6505,CPU,3/16/2021,14,65,,,4200,Intel,Intel,0
AMD Ryzen 7 2700X 50th Anniversary,CPU,4/29/2019,12,105,192,4800,3700,GF,AMD,48
Intel Xeon Gold 6342,CPU,4/6/2021,10,230,,,2800,Intel,Intel,0
Intel Pentium M 750,CPU,1/19/2005,90,27,84,140,1860,Intel,Intel,21
AMD Athlon II X2 210e,CPU,9/21/2010,45,45,117,410,2600,Unknown,AMD,29.25
Intel Pentium P6200,CPU,9/26/2010,32,35,81,384,2133,Intel,Intel,20.25
Intel Xeon E3-1230 v2,CPU,5/14/2012,22,69,160,1400,3300,Intel,Intel,40
Intel Core i7-4600M,CPU,9/1/2013,22,37,118,1300,2900,Intel,Intel,29.5
Intel Core i9-10980HK,CPU,4/2/2020,14,45,,,2400,Intel,Intel,0
Intel Atom Z3740,CPU,9/27/2013,22,2,,,1333,Intel,Intel,0
AMD Opteron A1170,CPU,1/14/2016,28,32,,,2000,Unknown,AMD,0
Intel Core 2 Duo T7400,CPU,7/27/2006,65,35,143,293,2166,Intel,Intel,35.75
Intel Core i7-8086K,CPU,6/5/2018,14,95,,,4000,Intel,Intel,0
AMD EPYC 7643,CPU,3/15/2021,7,225,,,2300,TSMC,AMD,0
AMD Phenom II X4 945 (125W),CPU,4/23/2009,45,125,258,758,3000,Unknown,AMD,64.5
AMD Ryzen 3 2200U,CPU,1/8/2018,14,15,246,,2500,GF,AMD,61.5
AMD Turion 64 ML-30,CPU,3/10/2005,90,35,125,114,1600,Unknown,AMD,31.25
Intel Core i5-3320M,CPU,6/1/2012,22,35,118,,2600,Intel,Intel,29.5
Intel Core i7-4860EQ,CPU,8/29/2013,22,47,264,1400,1800,Intel,Intel,66
AMD Opteron X2 270,CPU,5/31/2005,90,95,,233,2000,Unknown,AMD,0
Intel Core i5-1030G7,CPU,8/1/2019,10,12,,,800,Intel,Intel,0
Intel Core i9-11900K,CPU,3/16/2021,14,125,,,3500,Intel,Intel,0
Intel Atom Z612,CPU,5/4/2010,45,1,65,140,900,Intel,Intel,16.25
AMD Opteron 4332 HE,CPU,12/4/2012,32,65,315,1200,3000,Unknown,AMD,78.75
AMD Opteron 854,CPU,8/1/2005,90,92,,106,2800,Unknown,AMD,0
Intel Pentium D 820,CPU,5/26/2005,90,130,206,169,2800,Intel,Intel,51.5
Intel Xeon 2.8,CPU,6/28/2004,90,135,135,155,2800,Intel,Intel,33.75
AMD EPYC 7262,CPU,8/7/2019,7,155,74,3800,3100,TSMC,AMD,18.5
Intel Xeon Platinum 8376H,CPU,4/6/2021,14,205,,,2600,Intel,Intel,0
AMD Athlon XP 2600+ DTR,CPU,1/1/2001,130,68,101,63,1917,Unknown,AMD,25.25
Intel Core i7-10510U,CPU,8/21/2019,14,25,,,1800,Intel,Intel,0
Intel Core i3-7100T,CPU,1/3/2017,14,35,,,3400,Intel,Intel,0
Intel Core i7-9850H,CPU,4/23/2019,14,45,149,,2600,Intel,Intel,37.25
AMD Sempron 3000+,CPU,7/15/2005,90,62,,69,1800,Unknown,AMD,0
Intel Xeon Gold 6312U,CPU,4/6/2021,10,185,,,2400,Intel,Intel,0
AMD Ryzen 9 4900H,CPU,3/16/2020,7,54,156,9800,3300,TSMC,AMD,39
Intel Core 2 Duo E6550,CPU,7/1/2007,65,65,143,291,2333,Intel,Intel,35.75
AMD Opteron 246,CPU,12/1/2004,90,85,,106,2000,Unknown,AMD,0
AMD Athlon 64 X2 5000+ EE,CPU,2/1/2007,90,65,220,154,2600,Unknown,AMD,55
Intel Xeon E3-1275,GPU,4/3/2011,32,95,216,1160,100,Intel,Intel,54
Matrox Parhelia 128 MB,GPU,6/25/2002,150,,174,80,200,UMC,Other,43.5
NVIDIA GeForce MX150 GP107,GPU,2/23/2019,14,25,132,3300,1469,Samsung,NVIDIA,33
Intel GMA 500,GPU,3/2/2008,130,,,,200,Intel,Intel,0
ATI Radeon HD 4350 AGP,GPU,9/30/2008,55,20,73,242,600,TSMC,ATI,18.25
NVIDIA GeForce 7100 GS,GPU,8/8/2006,110,,110,75,350,TSMC,NVIDIA,27.5
ATI Radeon X700 AGP,GPU,9/1/2004,110,44,156,120,400,TSMC,ATI,39
NVIDIA GeForce 6800 XT,GPU,9/30/2005,130,,225,222,425,TSMC,NVIDIA,56.25
ATI Radeon HD 2900 PRO,GPU,12/12/2007,80,200,420,720,600,TSMC,ATI,105
NVIDIA ION,GPU,6/3/2008,65,20,144,314,450,Unknown,NVIDIA,36
Intel UHD Graphics 630,GPU,4/30/2020,14,15,,,350,Intel,Intel,0
AMD Wii U GPU,GPU,11/18/2012,40,33,146,880,550,Renesas,AMD,36.5
AMD Radeon RX 6800,GPU,10/28/2020,7,250,520,26800,1700,TSMC,AMD,130
Intel HD Graphics,GPU,4/29/2013,22,45,,,200,Intel,Intel,0
NVIDIA GeForce GTX 760 OEM,GPU,6/27/2013,28,130,294,3540,823,TSMC,NVIDIA,73.5
Intel Iris Graphics 540,GPU,9/1/2015,14,15,,,300,Intel,Intel,0
NVIDIA GeForce GT 445M,GPU,9/3/2010,40,35,238,1170,570,TSMC,NVIDIA,59.5
AMD Radeon HD 8400 IGP,GPU,11/23/2013,28,25,110,1178,600,TSMC,AMD,27.5
ATI Radeon E4690 MXM,GPU,6/1/2009,55,30,146,514,600,TSMC,ATI,36.5
NVIDIA Tesla V100 SXM2 32 GB,GPU,3/27/2018,12,250,815,21100,1290,TSMC,NVIDIA,203.75
NVIDIA Tesla C870,GPU,5/2/2007,90,171,484,681,600,TSMC,NVIDIA,121
NVIDIA GeForce GTX 470,GPU,3/26/2010,40,215,529,3100,608,TSMC,NVIDIA,132.25
NVIDIA GeForce GT 735M,GPU,4/1/2013,28,33,87,1020,575,TSMC,NVIDIA,21.75
NVIDIA GeForce Go 6200,GPU,2/1/2006,110,16,110,75,300,TSMC,NVIDIA,27.5
NVIDIA GRID K140Q,GPU,6/28/2013,28,130,118,1270,850,TSMC,NVIDIA,29.5
AMD Radeon R7 Mobile Graphics,GPU,11/15/2015,28,15,125,1200,200,GF,AMD,31.25
ATI Xbox 360 GPU 80nm,GPU,10/27/2007,80,175,181,232,500,TSMC,ATI,45.25
NVIDIA GeForce GTX TITAN Z,GPU,5/28/2014,28,375,561,7080,705,TSMC,NVIDIA,140.25
NVIDIA GeForce4 MX 4000 PCI,GPU,12/14/2003,150,,65,29,250,TSMC,NVIDIA,16.25
NVIDIA Jetson Nano GPU,GPU,NaT,20,10,118,2000,640,TSMC,NVIDIA,29.5
Intel HD Graphics 3000,GPU,2/1/2011,32,,216,1160,850,Intel,Intel,54
AMD Radeon RX 560 XT,GPU,3/13/2019,14,150,232,5700,1074,GF,AMD,58
Intel UHD Graphics,GPU,8/21/2019,14,15,,,300,Intel,Intel,0
NVIDIA Quadro4 900 XGL,GPU,2/19/2002,150,,142,63,300,TSMC,NVIDIA,35.5
ATI Mobility Radeon 9600 PRO,GPU,6/1/2004,130,,92,76,333,TSMC,ATI,23
NVIDIA GeForce GTX 860M OEM,GPU,2/5/2015,28,75,148,1870,1020,TSMC,NVIDIA,37
AMD Radeon HD 7350 OEM,GPU,1/5/2012,40,19,59,292,650,TSMC,AMD,14.75
NVIDIA GeForce GTX 970M,GPU,10/7/2014,28,,398,5200,924,TSMC,NVIDIA,99.5
ATI All-In-Wonder 9500,GPU,7/1/2002,150,,215,110,277,TSMC,ATI,53.75
NVIDIA P102-101,GPU,1/1/2018,16,250,471,11800,1557,TSMC,NVIDIA,117.75
AMD Radeon R7 M445,GPU,5/15/2016,28,,125,1550,780,TSMC,AMD,31.25
NVIDIA GRID M3-3020,GPU,5/18/2016,28,,148,1870,1033,TSMC,NVIDIA,37
ATI Radeon X800 GTO,GPU,12/29/2007,130,49,289,160,400,TSMC,ATI,72.25
NVIDIA GeForce 305M,GPU,1/10/2010,40,14,57,260,525,TSMC,NVIDIA,14.25
ATI Mobility Radeon HD 3870 X2,GPU,9/1/2008,55,110,192,666,660,TSMC,ATI,48
3dfx Spectre 1000,GPU,NaT,180,30,131,30,200,TSMC,Other,32.75
Intel HD Graphics 5300,GPU,9/5/2014,14,15,,,300,Intel,Intel,0
Matrox QID LP PCIe,GPU,12/17/2004,0,,,,250,UMC,Other,0
NVIDIA GeForce GTX 660 OEM,GPU,8/22/2012,28,130,294,3540,823,TSMC,NVIDIA,73.5
NVIDIA GeForce GTX 460 SE,GPU,11/15/2010,40,150,332,1950,650,TSMC,NVIDIA,83
AMD Radeon R5 M255,GPU,10/12/2014,28,,125,1550,925,TSMC,AMD,31.25
ATI Radeon X1600 PRO AGP,GPU,10/1/2007,90,41,150,157,500,TSMC,ATI,37.5
NVIDIA GeForce Go 7900 GS,GPU,4/18/2006,90,20,196,278,375,TSMC,NVIDIA,49
ATI Radeon 7000,GPU,2/19/2001,180,23,80,30,183,TSMC,ATI,20
AMD Radeon HD 7450A,GPU,1/5/2012,40,25,67,370,625,TSMC,AMD,16.75
NVIDIA GeForce 9800 GT Rebrand,GPU,7/21/2008,65,125,324,754,725,TSMC,NVIDIA,81
NVIDIA GeForce4 MX 4000,GPU,12/14/2003,150,,65,29,250,TSMC,NVIDIA,16.25
NVIDIA GeForce 8800 GTS 320,GPU,2/12/2007,90,143,484,681,513,TSMC,NVIDIA,121
NVIDIA Tegra 2 GPU,GPU,6/3/2010,40,20,,,300,TSMC,NVIDIA,0
NVIDIA GeForce GT 540M,GPU,1/5/2011,40,35,116,585,672,TSMC,NVIDIA,29
NVIDIA Tesla V100S PCIe 32 GB,GPU,11/26/2019,12,250,815,21100,1245,TSMC,NVIDIA,203.75
NVIDIA GeForce MX450 25W,GPU,8/15/2020,12,25,200,4700,720,TSMC,NVIDIA,50
NVIDIA GeForce GTX 470 PhysX Edition,GPU,NaT,,215,529,3100,608,TSMC,NVIDIA,132.25
AMD Radeon Pro Vega II,GPU,6/3/2019,7,475,331,13230,1574,TSMC,AMD,82.75
NVIDIA GeForce 6800,GPU,4/14/2004,110,,287,222,325,TSMC,NVIDIA,71.75
NVIDIA Tesla P40,GPU,9/13/2016,16,250,471,11800,1303,TSMC,NVIDIA,117.75
AMD Radeon E8870,GPU,9/29/2015,28,75,160,2080,1000,TSMC,AMD,40
NVIDIA GeForce MX150,GPU,5/17/2017,14,25,74,1800,1469,Samsung,NVIDIA,18.5
ATI All-In-Wonder 9800 PRO,GPU,6/16/2003,150,,215,117,378,TSMC,ATI,53.75
NVIDIA Quadro FX 1400,GPU,8/9/2004,130,55,225,222,350,TSMC,NVIDIA,56.25
ATI Radeon HD 2950 XTX,GPU,NaT,55,110,192,666,777,TSMC,ATI,48
AMD Radeon Pro 5300,GPU,8/4/2020,7,85,158,6400,1000,TSMC,AMD,39.5
ATI Radeon HD 2600 PRO,GPU,6/28/2007,65,35,153,390,600,TSMC,ATI,38.25
NVIDIA A10 PCIe,GPU,4/12/2021,8,150,628,28300,885,Samsung,NVIDIA,157
ATI Radeon DDR VIVO SE,GPU,8/14/2001,180,,115,30,187,TSMC,ATI,28.75
NVIDIA GeForce GTX 470 X2,GPU,NaT,40,215,529,3100,608,TSMC,NVIDIA,132.25
NVIDIA Quadro 2000,GPU,12/24/2010,40,62,238,1170,625,TSMC,NVIDIA,59.5
NVIDIA GRID K560Q,GPU,7/2/2014,28,225,294,3540,745,TSMC,NVIDIA,73.5
3dfx Spectre 2000,GPU,NaT,,30,131,30,200,TSMC,Other,32.75
NVIDIA GeForce GTS 250,GPU,3/4/2009,55,150,260,754,675,TSMC,NVIDIA,65
ATI Radeon X850 XT,GPU,12/1/2004,130,69,297,160,520,TSMC,ATI,74.25
NVIDIA Quadro 4000M,GPU,2/22/2011,40,100,332,1950,475,TSMC,NVIDIA,83
NVIDIA GRID M60-8Q,GPU,8/30/2015,28,225,398,5200,557,TSMC,NVIDIA,99.5
NVIDIA GeForce4 MX 440-8x,GPU,9/25/2002,150,,65,29,275,TSMC,NVIDIA,16.25
NVIDIA Quadro P3200 Mobile,GPU,2/21/2018,16,75,314,7200,1328,TSMC,NVIDIA,78.5
NVIDIA GeForce 9700M GTS,GPU,7/29/2008,65,60,240,505,530,TSMC,NVIDIA,60
ATI All-In-Wonder 9200 SE,GPU,1/26/2004,150,,98,36,250,UMC,ATI,24.5
NVIDIA GeForce PCX 4300,GPU,2/19/2004,150,,65,29,250,TSMC,NVIDIA,16.25
ATI Mobility Radeon HD 2600 XT,GPU,5/14/2007,65,,153,390,680,TSMC,ATI,38.25
NVIDIA GeForce GTX 760M,GPU,5/30/2013,28,55,221,2540,628,TSMC,NVIDIA,55.25
ATI Mobility Radeon HD 5450,GPU,1/7/2010,40,11,59,292,650,TSMC,ATI,14.75
NVIDIA GeForce 6600 GT AGP,GPU,11/14/2004,110,47,154,146,500,TSMC,NVIDIA,38.5
AMD Radeon HD 8790M,GPU,4/1/2013,28,,77,950,850,TSMC,AMD,19.25
NVIDIA GeForce GT 120 OEM,GPU,3/10/2009,55,50,121,314,738,TSMC,NVIDIA,30.25
AMD Radeon R7 340 OEM,GPU,5/5/2015,28,50,77,950,730,TSMC,AMD,19.25
ATI Radeon X1950 PRO,GPU,10/1/2006,80,66,230,330,575,TSMC,ATI,57.5
Intel HD Graphics 620,GPU,8/30/2016,14,15,,,300,Intel,Intel,0
AMD Radeon RX 580 OEM,GPU,6/29/2016,14,150,232,5700,1120,GF,AMD,58
XGI Volari Duo V5 Ultra,GPU,9/15/2003,130,,,90,350,UMC,Other,0
AMD Radeon 550X Mobile,GPU,4/11/2018,14,50,103,2200,1100,GF,AMD,25.75
NVIDIA GeForce GT 630M,GPU,3/22/2012,40,33,116,585,660,TSMC,NVIDIA,29
ATI Mobility Radeon 9200,GPU,3/1/2003,150,,81,36,250,UMC,ATI,20.25
ATI FireGL X3-256,GPU,8/3/2004,130,57,281,160,491,TSMC,ATI,70.25
NVIDIA Quadro FX 1500M,GPU,4/18/2006,90,45,196,278,375,TSMC,NVIDIA,49
NVIDIA GeForce 9200,GPU,4/17/2007,80,40,127,210,500,Unknown,NVIDIA,31.75
NVIDIA Quadro FX 4600 SDI,GPU,3/5/2007,90,154,484,681,500,TSMC,NVIDIA,121
NVIDIA Quadro T1000 Mobile,GPU,5/27/2019,12,50,200,4700,1395,TSMC,NVIDIA,50
NVIDIA Playstation 3 GPU 90nm,GPU,11/11/2006,90,80,258,300,550,Sony,NVIDIA,64.5
3dfx Voodoo4-2 4800 AGP,GPU,NaT,180,15,112,14,166,TSMC,Other,28
AMD Radeon RX 570,GPU,4/18/2017,14,150,232,5700,1168,GF,AMD,58
ATI Radeon 9700 PRO,GPU,7/1/2002,150,,215,110,325,TSMC,ATI,53.75
NVIDIA Tesla K40s,GPU,11/22/2013,28,245,561,7080,745,TSMC,NVIDIA,140.25
NVIDIA GeForce GTX 1050 Ti Mobile,GPU,2/1/2017,16,75,200,4400,1493,TSMC,NVIDIA,50
AMD Radeon HD 6310 IGP,GPU,11/9/2010,40,18,75,450,488,TSMC,AMD,18.75
ATI Mobility Radeon HD 4570,GPU,1/9/2009,55,,73,242,680,TSMC,ATI,18.25
NVIDIA Quadro2 MXR Low Profile,GPU,7/25/2000,180,,64,20,200,TSMC,NVIDIA,16
AMD Radeon R7 250 OEM,GPU,10/8/2013,28,65,77,950,1000,TSMC,AMD,19.25
ATI Radeon X1650 AGP,GPU,2/1/2007,90,,150,157,500,TSMC,ATI,37.5
NVIDIA Quadro RTX 4000 Max-Q,GPU,5/27/2019,12,80,545,13600,780,TSMC,NVIDIA,136.25
NVIDIA GeForce4 MX 440-SE,GPU,2/6/2002,150,,65,29,250,TSMC,NVIDIA,16.25
NVIDIA GeForce 9600 GSO,GPU,4/28/2008,65,84,324,754,550,TSMC,NVIDIA,81
NVIDIA GeForce4 Ti 4800,GPU,3/15/2003,150,,101,36,300,TSMC,NVIDIA,25.25
NVIDIA GeForce GTX 560 SE,GPU,2/20/2012,40,150,332,1950,736,TSMC,NVIDIA,83
NVIDIA Quadro FX Go1000,GPU,2/25/2004,130,,133,82,295,TSMC,NVIDIA,33.25
AMD Radeon R7 240,GPU,10/8/2013,28,30,77,950,730,TSMC,AMD,19.25
Sony Playstation 2 GPU 180nm,GPU,4/18/2001,180,79,188,54,147,Sony,Other,47
NVIDIA GeForce FX 5500,GPU,3/17/2004,150,,91,45,270,TSMC,NVIDIA,22.75
NVIDIA GeForce GT 1030 GK107,GPU,9/30/2018,28,65,118,1270,1058,TSMC,NVIDIA,29.5
Intel HD Graphics 520,GPU,9/1/2015,14,15,123,,300,Intel,Intel,30.75
AMD Radeon HD 7510M,GPU,1/7/2012,40,11,104,716,450,TSMC,AMD,26
AMD Radeon R6 Mobile Graphics,GPU,11/7/2015,28,15,125,1200,200,GF,AMD,31.25
NVIDIA Quadro RTX 3000 Max-Q,GPU,5/27/2019,12,60,445,10800,600,TSMC,NVIDIA,111.25
ATI Mobility Radeon HD 5850,GPU,1/7/2010,40,30,166,1040,500,TSMC,ATI,41.5
NVIDIA GeForce GTX 1060 6 GB GDDR5X,GPU,10/18/2018,16,120,314,7200,1506,TSMC,NVIDIA,78.5
Intel Iris Pro Graphics 5200,GPU,6/3/2013,22,45,,,200,Intel,Intel,0
NVIDIA GeForce GTX 950M Mac Edition,GPU,3/13/2015,28,75,148,1870,993,TSMC,NVIDIA,37
AMD Radeon HD 6990,GPU,3/8/2011,40,375,389,2640,830,TSMC,AMD,97.25
NVIDIA GeForce GT 740M,GPU,4/1/2013,28,45,118,1270,810,TSMC,NVIDIA,29.5
ATI Radeon X300 SE HyperMemory,GPU,10/25/2006,110,30,74,107,325,TSMC,ATI,18.5
NVIDIA GeForce 6600 VE,GPU,1/1/2005,110,,154,146,300,TSMC,NVIDIA,38.5
AMD Radeon R5 A240,GPU,1/1/2014,28,,56,690,1030,TSMC,AMD,14
NVIDIA Quadro 4100,GPU,NaT,28,35,294,3540,797,TSMC,NVIDIA,73.5
NVIDIA GeForce 310M,GPU,1/10/2010,40,14,57,260,606,TSMC,NVIDIA,14.25
NVIDIA Tesla T10 Processor,GPU,4/9/2009,55,188,470,1400,610,TSMC,NVIDIA,117.5
NVIDIA Quadro M520 Mobile,GPU,1/11/2017,28,25,,,1041,TSMC,NVIDIA,0
Intel GMA X3500,GPU,8/1/2007,90,13,,,667,Intel,Intel,0
ATI Mobility Radeon HD 3870,GPU,6/4/2008,55,55,192,666,660,TSMC,ATI,48
NVIDIA GeForce4 Ti 4200-8X,GPU,2/6/2002,150,,101,36,250,TSMC,NVIDIA,25.25
NVIDIA GeForce 810M,GPU,3/24/2014,28,15,116,585,738,TSMC,NVIDIA,29
Intel HD Graphics 6000,GPU,9/5/2014,14,15,133,,300,Intel,Intel,33.25
NVIDIA GeForce RTX 2080 SUPER,GPU,7/23/2019,12,250,545,13600,1650,TSMC,NVIDIA,136.25
ATI Mobility Radeon X1600 Mac Edition,GPU,11/8/2007,90,,150,157,398,TSMC,ATI,37.5
AMD Radeon HD 6630M,GPU,1/4/2011,40,26,104,716,500,TSMC,AMD,26
AMD Radeon R5 330 OEM,GPU,5/5/2015,28,50,56,690,830,TSMC,AMD,14
NVIDIA GeForce 8400 GS,GPU,4/17/2007,80,40,127,210,459,TSMC,NVIDIA,31.75
AMD Radeon HD 7730M,GPU,4/24/2012,28,25,123,1500,575,TSMC,AMD,30.75
AMD Radeon HD 7670A,GPU,1/5/2012,40,45,118,716,600,TSMC,AMD,29.5
AMD Radeon HD 7310 IGP,GPU,6/6/2012,40,18,75,450,500,TSMC,AMD,18.75
ATI Radeon X1950 PRO DUAL,GPU,1/10/2007,80,130,230,330,575,TSMC,ATI,57.5
ATI FireGL 8800,GPU,8/14/2001,150,,120,60,300,TSMC,ATI,30
AMD FirePro S9100,GPU,10/2/2014,28,225,438,6200,824,TSMC,AMD,109.5
AMD Radeon HD 6650M,GPU,1/4/2011,40,,104,716,600,TSMC,AMD,26
AMD Radeon HD 7570M,GPU,1/7/2012,40,13,104,716,500,TSMC,AMD,26
AMD FirePro W4300,GPU,12/1/2015,28,50,160,2080,930,TSMC,AMD,40
AMD Radeon Vega 10 Mobile,GPU,1/8/2019,14,10,210,4940,300,GF,AMD,52.5
NVIDIA GeForce 820A,GPU,3/17/2014,28,15,116,585,775,TSMC,NVIDIA,29
ATI Radeon X740 XL,GPU,3/7/2005,110,,156,120,425,TSMC,ATI,39
NVIDIA GeForce RTX 2060 Max-Q,GPU,1/29/2020,12,65,445,10800,975,TSMC,NVIDIA,111.25
ATI Mobility Radeon X700 XL,GPU,3/1/2005,110,,156,120,350,TSMC,ATI,39
ATI Radeon X1800 CrossFire Edition,GPU,12/20/2005,90,113,288,321,600,TSMC,ATI,72
AMD Radeon R7 M380,GPU,5/5/2015,28,,123,1500,900,TSMC,AMD,30.75
NVIDIA GeForce MX110,GPU,11/17/2017,28,30,,,978,TSMC,NVIDIA,0
NVIDIA NVS 510,GPU,10/23/2012,28,35,118,1270,797,TSMC,NVIDIA,29.5
AMD Radeon HD 7570,GPU,1/5/2012,40,60,118,716,650,TSMC,AMD,29.5
NVIDIA GeForce 9800M GT,GPU,7/29/2008,65,65,324,754,500,TSMC,NVIDIA,81
NVIDIA GeForce 7000M + nForce 610M,GPU,2/1/2006,90,,81,112,350,Unknown,NVIDIA,20.25
NVIDIA Quadro FX 4600,GPU,3/5/2007,90,134,484,681,500,TSMC,NVIDIA,121
NVIDIA GeForce 7050 PV + nForce 630a,GPU,2/1/2006,90,,81,112,425,Unknown,NVIDIA,20.25
AMD Radeon HD 7770 GHz Edition,GPU,2/15/2012,28,80,123,1500,1000,TSMC,AMD,30.75
ATI Mobility Radeon 9000 IGP,GPU,5/1/2003,150,,92,76,300,Unknown,ATI,23
NVIDIA GeForce 8800M GTX,GPU,11/1/2007,65,65,324,754,500,TSMC,NVIDIA,81
ATI Radeon HD 5570,GPU,2/9/2010,40,39,104,627,625,TSMC,ATI,26
NVIDIA GeForce GT 640M LE,GPU,3/22/2012,28,20,118,1270,500,TSMC,NVIDIA,29.5
ATI Radeon 9100 PCI,GPU,4/1/2003,150,,120,60,250,TSMC,ATI,30
ATI Mobility Radeon HD 2300,GPU,3/1/2007,80,,100,107,480,TSMC,ATI,25
ATI Mobility Radeon HD 5430,GPU,1/7/2010,40,7,59,292,500,TSMC,ATI,14.75
AMD Radeon E6465,GPU,9/29/2015,40,25,67,370,600,TSMC,AMD,16.75
ATI Radeon Xpress 1270 Mobile IGP,GPU,2/28/2007,80,,73,120,400,Unknown,ATI,18.25
ATI Radeon HD 3870 AGP,GPU,NaT,55,106,192,666,777,TSMC,ATI,48
Sony Playstation Portable GPU 90nm,GPU,12/12/2004,90,4,,,133,Sony,Other,0
AMD Radeon R4 Mobile Graphics,GPU,6/1/2016,28,15,125,1200,200,GF,AMD,31.25
AMD Radeon R5 Graphics,GPU,9/17/2014,28,15,245,2410,497,GF,AMD,61.25
NVIDIA Quadro M4000,GPU,6/29/2015,28,120,398,5200,773,TSMC,NVIDIA,99.5
NVIDIA GeForce GTX 1050 Ti,GPU,10/25/2016,14,75,132,3300,1291,Samsung,NVIDIA,33
NVIDIA GeForce MX350,GPU,2/10/2020,14,20,132,3300,747,Samsung,NVIDIA,33
NVIDIA Quadro4 700 Go GL,GPU,6/5/2003,150,,101,36,199,TSMC,NVIDIA,25.25
ATI FireGL V7600,GPU,11/6/2007,80,127,420,720,600,TSMC,ATI,105
Intel Xeon Phi 7120X,GPU,6/17/2013,22,300,350,5000,1238,Intel,Intel,87.5
NVIDIA Quadro NVS 160M,GPU,8/15/2008,65,12,86,210,580,TSMC,NVIDIA,21.5
NVIDIA GeForce GTS 150M,GPU,3/3/2009,65,45,240,505,400,TSMC,NVIDIA,60
XGI Volari V8,GPU,9/15/2003,130,,,110,300,UMC,Other,0
NVIDIA Quadro M5000,GPU,6/29/2015,28,150,398,5200,861,TSMC,NVIDIA,99.5
ATI Radeon HD 3750,GPU,9/11/2008,55,65,135,378,796,TSMC,ATI,33.75
AMD Radeon R5 A230,GPU,1/7/2014,28,,56,690,780,TSMC,AMD,14
NVIDIA GeForce 9200,GPU,4/17/2007,65,40,144,314,450,Unknown,NVIDIA,36
AMD Radeon HD 7450M,GPU,1/7/2012,40,7,67,370,700,TSMC,AMD,16.75
NVIDIA Quadro FX 3800M,GPU,8/14/2008,65,100,324,754,675,TSMC,NVIDIA,81
NVIDIA Jetson AGX Xavier GPU,GPU,NaT,12,30,350,9000,854,TSMC,NVIDIA,87.5
Intel GMA X3100,GPU,5/9/2007,90,13,,,500,Intel,Intel,0
Intel UHD Graphics P630,GPU,5/13/2020,14,15,,,350,Intel,Intel,0
AMD Radeon R3 Mobile Graphics,GPU,1/28/2015,28,15,107,930,600,GF,AMD,26.75
NVIDIA Quadro4 550 XGL,GPU,2/19/2002,150,,65,29,270,TSMC,NVIDIA,16.25
NVIDIA GeForce 605 OEM,GPU,4/2/2012,40,25,79,292,523,TSMC,NVIDIA,19.75
ATI Mobility Radeon HD 2600,GPU,5/14/2007,65,,153,390,500,TSMC,ATI,38.25
AMD Radeon HD 7600G IGP,GPU,9/1/2012,32,19,246,1303,320,TSMC,AMD,61.5
AMD Radeon HD 6970M,GPU,1/4/2011,40,75,212,1700,680,TSMC,AMD,53
